Importance,Level,Job Zone,Code,Occupation
77,65,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
77,64,4,11-9111.00,Medical and Health Services Managers
77,64,4,15-1253.00,Software Quality Assurance Analysts and Testers
77,63,5,19-1023.00,Zoologists and Wildlife Biologists
77,62,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
77,62,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
77,60,3,23-2011.00,Paralegals and Legal Assistants
77,60,3,27-4014.00,Sound Engineering Technicians
77,59,2,51-8013.03,Biomass Plant Technicians
77,57,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
77,57,4,27-4032.00,Film and Video Editors
77,55,2,31-1133.00,Psychiatric Aides
77,51,2,43-9041.00,Insurance Claims and Policy Processing Clerks
76,72,4,17-2131.00,Materials Engineers
76,70,4,17-2199.07,Photonics Engineers
76,69,4,17-2199.08,Robotics Engineers
76,67,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
76,67,4,13-1111.00,Management Analysts
76,64,4,13-2061.00,Financial Examiners
76,64,4,15-1212.00,Information Security Analysts
76,64,5,25-1066.00,"Psychology Teachers, Postsecondary"
76,64,4,53-6051.00,Transportation Inspectors
76,63,4,21-1091.00,Health Education Specialists
76,61,3,33-3011.00,Bailiffs
76,61,2,17-3029.01,Non-Destructive Testing Specialists
76,58,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
76,58,5,29-1218.00,Obstetricians and Gynecologists
76,58,4,19-4012.01,Precision Agriculture Technicians
76,56,3,11-9071.00,Gambling Managers
76,55,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
76,54,3,29-2052.00,Pharmacy Technicians
76,53,3,29-2034.00,Radiologic Technologists and Technicians
76,52,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
76,51,3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
76,51,2,43-4031.00,"Court, Municipal, and License Clerks"
76,51,3,19-4013.00,Food Science Technicians
76,50,3,31-1131.00,Nursing Assistants
75,70,4,15-1299.08,Computer Systems Engineers/Architects
75,68,5,19-1041.00,Epidemiologists
75,66,4,13-1051.00,Cost Estimators
75,65,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
75,63,5,19-1011.00,Animal Scientists
75,63,5,29-1229.05,Preventive Medicine Physicians
75,62,4,17-2112.03,Manufacturing Engineers
75,61,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
75,60,3,13-1041.04,Government Property Inspectors and Investigators
75,59,3,13-1041.08,Customs Brokers
75,59,5,19-2041.02,Environmental Restoration Planners
75,59,5,25-1054.00,"Physics Teachers, Postsecondary"
75,58,3,49-9081.00,Wind Turbine Service Technicians
75,54,4,39-9032.00,Recreation Workers
75,53,2,43-4021.00,Correspondence Clerks
75,53,2,43-4171.00,Receptionists and Information Clerks
75,52,2,45-4023.00,Log Graders and Scalers
75,51,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
75,50,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
75,50,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
75,49,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
75,47,2,43-5021.00,Couriers and Messengers
75,37,2,43-6013.00,Medical Secretaries and Administrative Assistants
74,77,5,19-2011.00,Astronomers
74,72,4,17-2061.00,Computer Hardware Engineers
74,67,4,15-2051.01,Business Intelligence Analysts
74,60,4,11-9021.00,Construction Managers
74,59,5,17-2112.01,Human Factors Engineers and Ergonomists
74,58,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
74,58,4,11-9161.00,Emergency Management Directors
74,57,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
74,56,3,11-3012.00,Administrative Services Managers
74,56,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
74,55,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
74,53,3,49-9062.00,Medical Equipment Repairers
74,52,2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
74,51,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
73,72,4,15-1243.00,Database Architects
73,72,5,19-3041.00,Sociologists
73,64,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
73,64,4,27-3042.00,Technical Writers
73,63,4,27-2032.00,Choreographers
73,62,4,15-1242.00,Database Administrators
73,60,5,21-1014.00,Mental Health Counselors
73,59,5,23-1011.00,Lawyers
73,58,3,17-3029.08,Photonics Technicians
73,57,4,17-3025.00,Environmental Engineering Technologists and Technicians
73,57,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
73,56,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
73,55,2,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
73,54,5,25-2059.01,Adapted Physical Education Specialists
73,53,3,47-4011.01,Energy Auditors
73,50,2,11-9131.00,Postmasters and Mail Superintendents
73,49,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
73,49,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
73,48,3,39-9041.00,Residential Advisors
73,46,2,43-3011.00,Bill and Account Collectors
73,45,2,43-4051.00,Customer Service Representatives
73,45,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
72,69,4,17-2072.00,"Electronics Engineers, Except Computer"
72,67,4,15-2099.01,Bioinformatics Technicians
72,64,4,17-2111.02,Fire-Prevention and Protection Engineers
72,63,5,25-1064.00,"Geography Teachers, Postsecondary"
72,63,5,25-1067.00,"Sociology Teachers, Postsecondary"
72,62,4,13-1081.01,Logistics Engineers
72,62,5,17-2199.06,Microsystems Engineers
72,61,4,13-1161.00,Market Research Analysts and Marketing Specialists
72,60,3,27-4012.00,Broadcast Technicians
72,60,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
72,59,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
72,58,4,13-1081.00,Logisticians
72,56,2,43-5011.00,Cargo and Freight Agents
72,55,4,13-2023.00,Appraisers and Assessors of Real Estate
72,55,4,13-1199.05,Sustainability Specialists
72,54,4,13-2031.00,Budget Analysts
72,53,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
72,52,4,19-1031.02,Range Managers
72,51,2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
72,49,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
72,49,2,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
72,49,2,43-9022.00,Word Processors and Typists
72,48,2,51-9011.00,Chemical Equipment Operators and Tenders
72,48,3,31-2012.00,Occupational Therapy Aides
72,48,3,43-3051.00,Payroll and Timekeeping Clerks
72,46,2,53-6011.00,Bridge and Lock Tenders
72,46,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
72,34,2,49-3091.00,Bicycle Repairers
71,70,3,51-8012.00,Power Distributors and Dispatchers
71,66,5,19-2041.03,Industrial Ecologists
71,66,4,11-9121.02,Water Resource Specialists
71,65,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
71,64,3,17-3024.01,Robotics Technicians
71,62,4,11-9151.00,Social and Community Service Managers
71,62,4,17-2199.10,Wind Energy Engineers
71,61,4,11-3121.00,Human Resources Managers
71,61,4,25-2058.00,"Special Education Teachers, Secondary School"
71,60,4,11-3051.04,Biomass Power Plant Managers
71,58,4,15-1251.00,Computer Programmers
71,58,4,27-2012.03,Media Programming Directors
71,58,4,13-2052.00,Personal Financial Advisors
71,56,4,27-3023.00,"News Analysts, Reporters, and Journalists"
71,55,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
71,54,4,13-2053.00,Insurance Underwriters
71,53,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
71,53,2,53-4031.00,Railroad Conductors and Yardmasters
71,50,5,25-9044.00,"Teaching Assistants, Postsecondary"
71,49,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
71,49,3,43-4061.00,"Eligibility Interviewers, Government Programs"
71,33,2,45-2021.00,Animal Breeders
70,68,4,15-1241.00,Computer Network Architects
70,66,4,17-2141.01,Fuel Cell Engineers
70,66,4,17-2161.00,Nuclear Engineers
70,61,3,47-1011.03,Solar Energy Installation Managers
70,58,4,17-2081.00,Environmental Engineers
70,58,4,13-2072.00,Loan Officers
70,57,2,49-9099.01,Geothermal Technicians
70,57,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
70,56,2,43-4151.00,Order Clerks
70,56,4,43-9111.00,Statistical Assistants
70,55,2,39-4021.00,Funeral Attendants
70,54,3,31-9091.00,Dental Assistants
70,53,3,17-3012.00,Electrical and Electronics Drafters
70,53,4,13-1081.02,Logistics Analysts
70,52,3,31-9011.00,Massage Therapists
70,51,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
70,51,3,25-3041.00,Tutors
70,50,5,25-1082.00,"Library Science Teachers, Postsecondary"
70,49,4,27-3091.00,Interpreters and Translators
70,48,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
70,48,2,41-2022.00,Parts Salespersons
70,38,4,11-9179.01,Fitness and Wellness Coordinators
69,70,4,17-2031.00,Bioengineers and Biomedical Engineers
69,69,5,19-3094.00,Political Scientists
69,66,5,19-3092.00,Geographers
69,66,4,15-1299.02,Geographic Information Systems Technologists and Technicians
69,61,5,19-1029.01,Bioinformatics Scientists
69,61,4,13-1041.07,Regulatory Affairs Specialists
69,60,4,17-2051.02,Water/Wastewater Engineers
69,59,5,11-9041.00,Architectural and Engineering Managers
69,57,2,47-5081.00,Helpers--Extraction Workers
69,57,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
